agent,original_filename,filepath,size_kb,flags
ICT,Kenya Internet Governance Forum 2023 Report.pdf,/home/darwin/PRES/Executive/ICT/data/raw/Kenya Internet Governance Forum 2023 Report.pdf,5793.9,HAS_SPACES
ICT,Kenya-Digital-Readiness-Study.pdf,/home/darwin/PRES/Executive/ICT/data/raw/Kenya-Digital-Readiness-Study.pdf,2176.4,
ICT,Kenya-IGF-2020-report.pdf,/home/darwin/PRES/Executive/ICT/data/raw/Kenya-IGF-2020-report.pdf,2907.6,
ICT,Kenya-Internet-Governance-Forum-Report-2016.pdf,/home/darwin/PRES/Executive/ICT/data/raw/Kenya-Internet-Governance-Forum-Report-2016.pdf,5157.4,
ICT,Kenya-youth-IGF-2021.pdf,/home/darwin/PRES/Executive/ICT/data/raw/Kenya-youth-IGF-2021.pdf,2155.7,
ICT,Kenya_Digital_Economy_2019.pdf,/home/darwin/PRES/Executive/ICT/data/raw/Kenya_Digital_Economy_2019.pdf,5250.1,
ICT,Kenya_s_Second_National_Cybersecurity_Strategy_1665382389.pdf,/home/darwin/PRES/Executive/ICT/data/raw/Kenya_s_Second_National_Cybersecurity_Strategy_1665382389.pdf,1509.7,
ICT,Konza-Technopolis-Abridged-Strategic-Plan-1.pdf,/home/darwin/PRES/Executive/ICT/data/raw/Konza-Technopolis-Abridged-Strategic-Plan-1.pdf,38818.8,
ICT,Mobile-Payments-v1.pdf,/home/darwin/PRES/Executive/ICT/data/raw/Mobile-Payments-v1.pdf,410.1,
ICT,Mobile-Payments-v2.pdf,/home/darwin/PRES/Executive/ICT/data/raw/Mobile-Payments-v2.pdf,410.1,
